Epic,Task ID,Task Name,Description,Estimate (h),Priority,Dependencies,Department
"EPIC 1 - Nền tảng & Kiến trúc","T1.1","Dựng pnpm monorepo","Các ý cần làm:
- Khởi tạo pnpm-workspace.yaml + root package.json
- Tạo 6 package: core, capture, diff, cli, dashboard, recorder
- Cấu hình tsconfig base + project references giữa các package
- core không phụ thuộc package khác; các package khác đều import từ core
- Script build/dev ở root chạy sạch
- (Đọc trước _shared/architecture.md)","2","High","","DevOps"
"EPIC 1 - Nền tảng & Kiến trúc","T1.2","Cấu hình ESLint & TS strict","Các ý cần làm:
- Cấu hình ESLint (typescript-eslint) + Prettier
- Bật TS strict, noImplicitAny, noUncheckedIndexedAccess
- Tích hợp rule require-testid-on-interactive cho package dashboard
- Thêm script lint ở root, chạy pass (CI-ready)","1","Medium","T1.1","DevOps"
"EPIC 1 - Nền tảng & Kiến trúc","T1.3","Định nghĩa Core model","Các ý cần làm:
- Type Snapshot: Screen, Control (key, role, tag, type, order, text{label,placeholder}, options, style, attrs)
- Enum ChangeType: TEXT_CHANGED, OPTIONS_CHANGED, CONTROL_ADDED, CONTROL_REMOVED, LOCATOR_BROKEN, CONTROL_REORDERED, TYPE_CHANGED, STYLE_CHANGED, MISSING_TRANSLATION, UNTRANSLATED, STRUCTURAL_DRIFT
- Type Registry: control{key, locator{strategy,value,options}, track[]}
- Type Diff/Report: Change{changeType, key, before, after, severity}, RunReport{runId, project, locale, changes[]}
- Tên field/ChangeType khớp _shared/naming.md; lệch quy ước thì DỪNG và hỏi","2","High","T1.1","Development"
"EPIC 1 - Nền tảng & Kiến trúc","T1.4","Zod schema cho config","Các ý cần làm:
- Schema projects.yaml (projects[].{id,name,config})
- Schema screens.config.yaml (baseUrl, auth, reuseSession, locales, localeSwitch, screens[])
- Schema *.locators.yaml (screen, controls[].{key,locator,track})
- Dùng strict() từ chối key lạ; enum cho strategy/track/ChangeType
- Infer type từ schema, đồng bộ với core model
- (Đọc trước _shared/validation-and-errors.md)","2.5","High","T1.3","Development"
"EPIC 1 - Nền tảng & Kiến trúc","T1.5","Tạo workspace fixture","Các ý cần làm:
- projects.yaml mẫu 1 project
- screens.config.yaml cho 1-2 màn (list + edit)
- 1 file *.locators.yaml khoảng 5-10 control
- Trang HTML tĩnh: form (input, select, button) + 1 table có header
- Bản HTML thứ 2 đổi nhẹ để test diff","0.5","High","T1.4","QA"
"EPIC 2 - Capture Engine","T2.1","Config loader","Các ý cần làm:
- Đọc file YAML, parse (js-yaml) rồi validate bằng Zod safeParse
- Gộp lỗi Zod thành message chỉ rõ file + đường dẫn field + giá trị sai
- Resolve path config tương đối theo workspace root
- Không throw ở biên; trả Result ok/err
- (Đọc trước _shared/validation-and-errors.md)","2","High","T1.4","Development"
"EPIC 2 - Capture Engine","T2.2","Path builder & sanitize filename","Các ý cần làm:
- Sinh path artifact: runs/<runId>/snapshots/<screen>.<locale>.json, screenshots/..., report.json/html, baseline/...
- Sanitize screen id/locale/filename (loại ../ và ký tự cấm)
- Đảm bảo path nằm trong workspace (chống path traversal)
- Tạo thư mục nếu chưa có (mkdir recursive)
- (Đọc trước _shared/file-handling.md)","1","High","T1.1","Development"
"EPIC 2 - Capture Engine","T2.3","Playwright lifecycle","Các ý cần làm:
- Khởi tạo Browser 1 lần (singleton) và tái dùng
- Mỗi screen mở Context/Page riêng, đóng tường minh trong finally
- Retry mở page có đường dọn tài nguyên khi fail
- Đóng Browser cuối run, không để process treo
- (Đọc trước _shared/memory-safety.md)","2","High","T1.1","Development"
"EPIC 2 - Capture Engine","T2.4","Form login & reuse session","Các ý cần làm:
- Chạy các bước login từ config (fill/click/waitFor)
- Sau login lưu storageState ra file theo project
- Lần sau nạp storageState, bỏ qua login nếu còn hạn
- Login fail thì báo lỗi rõ và dừng project đó","3","High","T2.3;T2.1","Development"
"EPIC 2 - Capture Engine","T3.1","Locator resolver","Các ý cần làm:
- Hàm nhận locator{strategy,value,options} trả về Playwright Locator
- Dispatch đúng 6 strategy theo thứ tự ưu tiên
- Dùng count() assert đúng 1 element: 0 hoặc >1 thì gắn LOCATOR_BROKEN
- Trả kết quả có trạng thái (resolved/broken), KHÔNG throw
- (Bất biến số 1)","3","High","T2.3;T1.3","Development"
